cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;Qt_Operações
n4%;C - Conglomerado;jun/12;70,88%;38,52%;63,30%;92,30%;88,40%;73,62%;37,20%;35,85%;79,48%;76,21%;77,44%;87,04%;86,60%;86,72%;86,85%;76,02%;84,30%;90,88%;91,21%;91,10%;91,18%;85,16%;82,53%;99,97%;90,58%;5,77%;15,90%;15,47%;14,19%;13,14%;25,16%;74,08%;22,05%;89,62%;92,41%;91,16%;89,89%;95,70%;99,96%;8,44%;91,86%;55,74%;78,56%;76,34%;76,87%;81,87%;77,28%;99,71%;78,14%;80,38%;73,52%;65,97%;70,23%;71,58%;75,76%;19,23%;71,21%;100,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C%;I - Instituição independente;jun/12;29,12%;61,48%;36,70%;7,70%;11,60%;26,38%;62,80%;64,15%;20,52%;23,79%;22,56%;12,96%;13,40%;13,28%;13,15%;23,98%;15,70%;9,12%;8,79%;8,90%;8,82%;14,84%;17,47%;0,03%;9,42%;94,23%;84,10%;84,53%;85,81%;86,86%;74,84%;25,92%;77,95%;10,38%;7,59%;8,84%;10,11%;4,30%;0,04%;91,56%;8,14%;44,26%;21,44%;23,66%;23,13%;18,13%;22,72%;0,29%;21,86%;19,62%;26,48%;34,03%;29,77%;28,42%;24,24%;80,77%;28,79%;0,00%;78,63%;65,36%;92,39%;89,41%;81,65%;93,67%;3,99%;82,53%;59,86%;65,98%;77,14%;85,03%;90,00%;91,88%;88,12%;80,81%;87,87%;93,29%;62,19%;79,69%;67,92%;98,20%;10,55%;85,56%;90,39%;89,50%;77,86%;92,65%;99,87%;100,00%;100,00%;87,67%;96,41%;93,91%;91,06%;95,93%;47,75%;42,31%;100,00%;85,70%;93,79%;83,48%;86,07%;94,12%;90,33%;80,38%;23,27%;88,29%;41,81%;54,89%;58,59%;46,54%;31,69%;12,98%;8,16%;35,78%;58,47%;93,75%;93,26%;83,27%;69,70%;79,33%;98,96%;87,90%;76,76%;80,59%;87,76%;72,32%;93,82%;97,32%;77,30%;81,37%;68,84%;76,04%;89,06%;47,38%;70,10%;99,95%;87,56%
I%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,37%;34,64%;7,61%;10,59%;18,35%;6,33%;96,01%;17,47%;40,14%;34,02%;22,86%;14,97%;10,00%;8,12%;11,88%;19,19%;12,13%;6,71%;37,81%;20,31%;32,08%;1,80%;89,45%;14,44%;9,61%;10,50%;22,14%;7,35%;0,13%;0,00%;0,00%;12,33%;3,59%;6,09%;8,94%;4,07%;52,25%;57,69%;0,00%;14,30%;6,21%;16,52%;13,93%;5,88%;9,67%;19,62%;76,73%;11,71%;58,19%;45,11%;41,41%;53,46%;68,31%;87,02%;91,84%;64,22%;41,53%;6,25%;6,74%;16,73%;30,30%;20,67%;1,04%;12,10%;23,24%;19,41%;12,24%;27,68%;6,18%;2,68%;22,70%;18,63%;31,16%;23,96%;10,94%;52,62%;29,90%;0,05%;12,44%
1%;1 - Público;set/12;41,67%;75,44%;51,86%;33,29%;40,20%;58,58%;89,66%;0,34%;47,31%;23,95%;28,69%;29,37%;36,12%;54,68%;67,15%;0,04%;34,03%;1,85%;4,65%;5,06%;5,27%;6,98%;8,49%;0,00%;5,19%;92,31%;85,06%;86,02%;87,60%;89,07%;80,37%;42,64%;81,95%;11,74%;18,90%;12,10%;9,73%;0,09%;0,00%;0,00%;16,74%;70,60%;59,08%;59,89%;65,93%;72,99%;80,52%;99,09%;66,09%;24,74%;22,62%;32,26%;25,22%;26,15%;26,97%;14,90%;25,99%;0,00%;34,84%;45,73%;26,76%;33,76%;41,26%;34,93%;88,48%;35,88%;35,82%;20,15%;11,91%;26,43%;68,29%;79,32%;32,71%;33,59%;17,13%;9,50%;33,66%;11,64%;19,33%;4,91%;0,00%;15,53%;42,28%;30,49%;36,88%;62,33%;9,28%;0,07%;0,23%;33,08%;35,61%;26,45%;24,60%;4,82%;41,45%;56,71%;0,00%;26,79%;14,93%;20,11%;7,27%;10,09%;23,84%;41,48%;22,78%;14,06%;70,32%;58,79%;54,86%;62,44%;77,53%;93,64%;97,26%;73,72%;81,39%;56,81%;59,06%;85,36%;80,66%;42,56%;100,00%;65,54%;63,43%;26,08%;12,63%;32,77%;8,78%;2,91%;28,35%;22,08%;42,17%;38,05%;25,91%;66,17%;24,65%;19,03%;17,85%
2%;2 - Privado Nacional;set/12;40,35%;16,19%;38,14%;52,95%;48,06%;33,33%;6,43%;4,25%;41,95%;37,40%;52,91%;49,10%;41,98%;30,54%;27,82%;18,08%;44,74%;78,31%;65,95%;65,42%;67,39%;66,00%;56,67%;53,91%;66,77%;5,79%;8,08%;7,56%;6,99%;6,74%;12,83%;44,37%;11,74%;60,15%;55,27%;65,69%;20,63%;3,53%;0,10%;0,60%;57,34%;15,51%;27,47%;29,53%;18,60%;14,84%;14,81%;0,89%;22,35%;40,23%;53,07%;42,04%;47,33%;35,40%;25,79%;78,71%;46,66%;45,42%;44,64%;39,32%;54,47%;49,59%;43,56%;50,83%;3,29%;47,40%;42,78%;35,43%;54,62%;49,02%;22,78%;14,92%;0,10%;40,13%;58,82%;68,04%;44,33%;22,17%;7,27%;0,45%;87,07%;61,43%;43,91%;50,39%;35,36%;18,02%;72,52%;76,77%;39,21%;46,33%;40,81%;45,26%;41,71%;58,48%;35,53%;24,46%;39,68%;42,76%;54,81%;42,19%;59,90%;50,85%;44,75%;22,86%;56,01%;50,39%;13,55%;23,31%;29,76%;26,40%;15,90%;5,63%;2,62%;18,12%;12,79%;30,18%;29,66%;11,82%;13,73%;56,73%;0,00%;26,40%;26,17%;33,02%;45,15%;50,19%;83,82%;67,36%;71,65%;53,86%;42,57%;36,99%;51,27%;23,47%;62,88%;69,35%;66,02%
3%;3 - Privado com Controle Estrangeiro;set/12;17,99%;8,36%;10,00%;13,75%;11,74%;8,08%;3,91%;95,42%;10,74%;38,65%;18,40%;21,53%;21,90%;14,78%;5,04%;81,88%;21,23%;19,84%;29,40%;29,52%;27,33%;27,02%;34,84%;46,09%;28,04%;1,90%;6,86%;6,42%;5,42%;4,19%;6,80%;12,99%;6,31%;28,11%;25,83%;22,21%;69,64%;96,38%;99,90%;99,40%;25,92%;13,89%;13,45%;10,57%;15,47%;12,16%;4,67%;0,01%;11,56%;35,02%;24,30%;25,70%;27,45%;38,45%;47,24%;6,39%;27,35%;54,58%;20,52%;14,94%;18,77%;16,65%;15,19%;14,23%;8,23%;16,72%;21,40%;44,43%;33,46%;24,55%;8,93%;5,76%;67,18%;26,28%;24,05%;22,46%;22,01%;66,20%;73,40%;94,64%;12,93%;23,04%;13,81%;19,12%;27,76%;19,65%;18,20%;23,16%;60,56%;20,59%;23,58%;28,29%;33,69%;36,70%;23,02%;18,83%;60,32%;30,45%;30,26%;37,70%;32,83%;39,06%;31,41%;35,66%;21,22%;35,55%;16,13%;17,90%;15,38%;11,16%;6,57%;0,72%;0,12%;8,15%;5,82%;13,01%;11,28%;2,81%;5,61%;0,71%;0,00%;8,06%;10,40%;40,89%;42,22%;17,04%;7,40%;29,73%;0,00%;24,06%;15,25%;24,96%;22,81%;10,36%;12,47%;11,62%;16,14%
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/12;93,03%;99,55%;97,86%;97,21%;97,72%;98,39%;99,24%;96,32%;97,89%;87,88%;84,57%;86,65%;90,24%;90,83%;88,32%;78,03%;87,88%;95,32%;87,73%;87,80%;89,15%;89,05%;80,25%;100,00%;88,71%;98,92%;98,94%;99,35%;99,42%;99,67%;99,57%;99,58%;99,51%;92,71%;94,82%;94,74%;95,00%;97,18%;99,99%;99,40%;94,57%;82,41%;82,95%;78,97%;82,72%;86,67%;87,35%;99,10%;82,77%;94,50%;89,91%;89,07%;94,55%;94,51%;90,43%;22,11%;90,78%;100,00%;97,60%;97,30%;96,62%;97,02%;96,37%;97,40%;96,71%;96,97%;84,99%;67,78%;76,03%;81,11%;90,53%;95,59%;92,76%;80,52%;99,16%;98,32%;93,63%;99,07%;99,09%;99,55%;9,72%;96,63%;93,37%;91,96%;82,38%;95,25%;99,97%;100,00%;98,58%;90,38%;100,00%;99,76%;99,96%;99,15%;99,98%;100,00%;40,26%;99,81%;97,46%;91,56%;94,20%;97,22%;97,39%;93,42%;65,36%;94,62%;58,27%;60,73%;59,71%;50,97%;35,70%;22,97%;23,09%;41,56%;91,98%;97,65%;97,88%;94,23%;75,56%;81,46%;99,85%;94,39%;99,92%;100,00%;97,83%;100,00%;100,00%;100,00%;100,00%;99,52%;76,51%;90,36%;92,17%;58,78%;95,49%;99,96%;92,78%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/12;2,63%;0,00%;0,04%;0,05%;0,03%;0,00%;0,00%;0,00%;0,03%;0,01%;0,04%;0,06%;0,05%;0,02%;0,00%;0,00%;0,05%;3,55%;10,25%;10,16%;8,98%;9,25%;7,63%;0,00%;9,38%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,49%;1,73%;2,76%;3,98%;0,00%;0,00%;0,00%;2,13%;7,65%;2,67%;2,65%;7,27%;6,46%;1,91%;0,00%;4,21%;0,55%;0,29%;0,47%;1,04%;1,21%;0,24%;0,00%;0,56%;0,00%;0,47%;0,97%;0,86%;0,75%;1,59%;0,29%;0,00%;0,89%;10,73%;27,74%;18,06%;11,22%;4,25%;0,71%;0,00%;13,59%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,08%;3,89%;15,91%;4,18%;0,00%;0,00%;0,00%;6,08%;0,00%;0,24%;0,04%;0,84%;0,00%;0,00%;59,74%;0,19%;0,56%;6,56%;3,18%;0,84%;0,94%;0,11%;0,00%;3,15%;12,36%;7,93%;8,51%;7,82%;4,51%;0,23%;0,10%;4,96%;2,33%;0,34%;0,27%;0,80%;2,14%;0,28%;0,00%;0,52%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,68%;6,19%;4,31%;2,27%;0,69%;0,04%;1,26%
b3S%;b3S - Cooperativa de Crédito Singulares;set/12;3,07%;0,25%;1,89%;2,49%;2,07%;1,48%;0,73%;3,68%;1,90%;2,73%;9,23%;10,54%;9,35%;9,07%;11,66%;21,97%;9,28%;0,18%;1,15%;1,25%;1,28%;1,33%;7,40%;0,00%;1,23%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,23%;0,11%;0,01%;0,04%;2,77%;0,01%;0,60%;0,11%;7,80%;13,49%;17,54%;6,75%;2,46%;2,24%;0,90%;10,14%;2,18%;9,11%;9,63%;4,03%;3,73%;6,30%;75,12%;7,75%;0,00%;1,29%;1,13%;1,95%;1,87%;1,80%;2,30%;3,29%;1,66%;0,59%;0,99%;1,94%;2,34%;1,31%;0,97%;0,07%;1,68%;0,84%;1,63%;6,20%;0,93%;0,91%;0,45%;90,28%;3,30%;3,00%;4,00%;1,46%;0,02%;0,00%;0,00%;1,42%;3,35%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,87%;1,60%;2,23%;1,43%;1,03%;1,82%;34,25%;1,75%;0,26%;0,15%;0,06%;0,03%;0,02%;0,00%;0,00%;0,03%;0,55%;1,12%;0,53%;0,20%;0,09%;0,03%;0,00%;0,47%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,39%;1,65%;0,97%;0,43%;2,89%;0,00%;1,26%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;set/12;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,31%;0,17%;0,07%;0,11%;0,01%;0,00%;0,17%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,17%;0,00%;0,00%;0,00%;0,00%;0,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,16%;0,19%;0,03%;0,00%;0,00%;0,38%;0,11%;0,00%;0,03%;0,02%;0,00%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,16%;0,01%;0,03%;0,06%;0,00%;0,00%;0,00%
b4%;b4 - Banco de Desenvolvimento;set/12;0,25%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,28%;0,64%;0,65%;2,53%;3,49%;7,07%;0,00%;2,29%;0,01%;0,01%;0,05%;0,14%;0,32%;1,15%;0,00%;0,08%;0,00%;0,03%;0,04%;0,11%;0,13%;0,09%;0,00%;0,00%;0,09%;2,10%;0,17%;0,35%;0,64%;0,81%;1,09%;0,00%;0,57%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,00%;0,00%;0,00%;0,03%;0,04%;0,05%;0,35%;0,58%;4,48%;0,00%;0,25%;27,68%;30,82%;31,37%;40,75%;59,27%;76,47%;76,77%;53,07%;4,27%;0,83%;1,29%;4,63%;21,48%;15,98%;0,15%;4,33%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;15,87%;0,81%;1,53%;38,27%;0,01%;0,00%;0,02%
n1%;n1 - Não Bancário de Crédito;set/12;1,01%;0,19%;0,20%;0,26%;0,18%;0,13%;0,03%;0,00%;0,18%;9,38%;6,15%;2,73%;0,36%;0,08%;0,01%;0,00%;2,79%;0,95%;0,87%;0,79%;0,59%;0,37%;4,71%;0,00%;0,67%;1,03%;1,06%;0,64%;0,58%;0,32%;0,43%;0,42%;0,49%;3,57%;3,34%;2,49%;0,98%;0,05%;0,00%;0,00%;3,19%;0,86%;0,26%;0,18%;0,73%;0,93%;1,44%;0,00%;0,59%;2,77%;0,68%;0,78%;0,23%;0,23%;1,88%;0,12%;0,81%;0,00%;0,62%;0,25%;0,28%;0,17%;0,04%;0,00%;0,00%;0,23%;1,60%;3,31%;3,62%;4,69%;3,11%;1,63%;7,17%;3,65%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,54%;0,15%;0,25%;0,55%;0,02%;0,00%;0,00%;0,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,07%;0,08%;0,15%;0,14%;0,05%;0,17%;0,00%;0,11%;1,43%;0,33%;0,34%;0,43%;0,49%;0,33%;0,04%;0,37%;0,87%;0,06%;0,03%;0,14%;0,73%;2,25%;0,00%;0,29%;0,08%;0,00%;2,17%;0,00%;0,00%;0,00%;0,00%;0,48%;0,39%;0,98%;0,99%;0,19%;0,91%;0,00%;4,68%
n2%;n2 - Não Bancário de Mercado de Capitais;set/12;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,65%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C%;C - Conglomerado;set/12;69,81%;27,80%;65,04%;92,06%;87,95%;72,26%;38,61%;96,32%;78,79%;72,95%;75,09%;84,86%;83,56%;84,78%;86,13%;78,03%;81,72%;95,32%;90,32%;90,19%;90,43%;89,48%;80,98%;100,00%;90,39%;6,64%;16,13%;15,50%;14,07%;13,03%;24,69%;72,93%;21,95%;89,53%;91,81%;91,66%;93,21%;97,10%;99,99%;99,40%;91,55%;63,23%;77,67%;75,76%;77,68%;81,66%;76,92%;99,05%;77,53%;77,31%;73,11%;67,80%;72,54%;72,08%;69,60%;21,06%;71,52%;100,00%;25,66%;37,22%;7,50%;10,78%;22,51%;7,11%;93,43%;19,01%;42,55%;35,53%;22,37%;17,89%;10,96%;8,38%;7,54%;20,29%;15,99%;6,92%;34,92%;11,35%;20,25%;5,36%;90,28%;14,67%;9,46%;9,74%;18,40%;4,99%;0,37%;0,00%;1,42%;11,13%;5,83%;7,10%;7,02%;6,66%;45,51%;59,32%;0,00%;13,56%;8,88%;16,38%;31,38%;9,30%;14,48%;17,55%;49,85%;18,72%;56,94%;49,44%;42,75%;51,69%;69,45%;87,52%;91,41%;64,78%;34,19%;3,29%;4,15%;6,37%;25,67%;21,63%;1,71%;7,19%;62,90%;23,89%;12,57%;26,44%;6,49%;2,61%;26,45%;18,48%;69,14%;77,75%;87,79%;46,98%;84,22%;99,94%;85,74%
I%;I - Instituição independente;set/12;30,19%;72,20%;34,96%;7,94%;12,05%;27,74%;61,39%;3,68%;21,21%;27,05%;24,91%;15,14%;16,44%;15,22%;13,87%;21,97%;18,28%;4,68%;9,68%;9,81%;9,57%;10,52%;19,02%;0,00%;9,61%;93,36%;83,87%;84,50%;85,93%;86,97%;75,31%;27,07%;78,05%;10,47%;8,19%;8,34%;6,79%;2,90%;0,01%;0,60%;8,45%;36,77%;22,33%;24,24%;22,32%;18,34%;23,08%;0,95%;22,47%;22,69%;26,89%;32,20%;27,46%;27,92%;30,40%;78,94%;28,48%;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,86%;22,25%;12,21%;53,02%;15,78%;0,06%;14,26%
1%;1 - Público;dez/12;43,26%;74,28%;45,86%;40,71%;45,33%;56,48%;83,61%;9,99%;48,42%;25,39%;25,14%;31,30%;37,62%;54,54%;65,99%;0,05%;34,47%;2,45%;5,52%;6,04%;6,51%;9,61%;2,39%;0,00%;6,37%;91,41%;85,07%;85,70%;87,87%;89,27%;80,95%;44,34%;82,20%;11,85%;19,77%;12,46%;10,82%;0,17%;0,00%;0,00%;17,50%;74,23%;65,28%;60,36%;66,45%;74,00%;81,45%;99,96%;67,21%;23,56%;26,03%;32,53%;27,10%;29,23%;36,23%;18,79%;28,04%;0,00%;34,60%;26,41%;35,72%;44,57%;51,18%;55,24%;79,41%;38,19%;37,49%;11,29%;14,94%;29,76%;71,06%;87,77%;65,12%;37,33%;18,00%;10,07%;37,03%;64,30%;26,04%;1,95%;0,00%;17,78%;43,76%;30,02%;33,21%;62,15%;12,70%;0,00%;0,04%;31,88%;41,04%;22,35%;22,23%;4,83%;47,12%;55,25%;0,00%;25,12%;18,10%;23,55%;7,91%;11,54%;24,68%;38,25%;31,10%;15,81%;56,42%;56,44%;56,62%;63,23%;79,48%;94,18%;97,78%;75,47%;79,47%;61,41%;51,96%;89,07%;81,50%;44,80%;99,80%;64,56%;48,65%;29,49%;14,67%;32,38%;9,08%;3,08%;20,33%;22,47%;44,16%;41,07%;27,08%;67,39%;25,28%;19,77%;21,27%
2%;2 - Privado Nacional;dez/12;39,26%;15,23%;43,22%;47,42%;44,15%;35,15%;10,50%;3,92%;41,24%;35,39%;55,11%;47,46%;40,19%;29,69%;29,04%;40,28%;43,81%;77,37%;64,52%;64,14%;65,62%;62,44%;65,67%;58,38%;65,07%;6,73%;8,23%;8,00%;6,78%;6,57%;12,51%;43,05%;11,62%;59,90%;54,67%;66,32%;20,84%;4,27%;1,40%;2,89%;57,05%;12,15%;26,66%;28,25%;18,69%;14,09%;13,72%;0,02%;21,73%;39,34%;51,77%;42,58%;49,19%;39,73%;31,57%;77,87%;46,64%;49,22%;45,60%;53,60%;47,86%;41,54%;35,31%;33,08%;13,34%;45,71%;40,33%;38,56%;50,80%;46,55%;20,45%;8,39%;0,30%;36,98%;55,46%;67,65%;40,76%;4,38%;7,20%;1,56%;87,75%;59,27%;42,98%;49,94%;36,46%;21,95%;67,86%;75,56%;5,71%;46,67%;40,26%;44,14%;41,17%;56,28%;30,95%;23,99%;0,00%;41,50%;51,23%;41,37%;58,48%;47,95%;42,59%;24,61%;59,22%;48,64%;19,12%;28,01%;30,34%;25,78%;14,79%;5,30%;2,15%;17,48%;15,34%;24,91%;34,62%;9,07%;13,45%;54,45%;0,20%;26,74%;42,84%;29,26%;43,49%;51,22%;84,44%;66,82%;79,67%;53,90%;43,08%;38,50%;48,99%;21,75%;61,56%;69,26%;59,81%
